Date,BRENT
,BZ=F
11/11/2010,88.80999756
11/12/2010,86.33999634
11/15/2010,86.69999695
11/16/2010,84.73000336
11/17/2010,83.27999878
11/18/2010,85.05000305
11/19/2010,84.33999634
11/22/2010,83.95999908
11/23/2010,83.25
11/24/2010,85.83999634
11/26/2010,85.58000183
11/29/2010,87.33999634
11/30/2010,85.91999817
12/1/2010,88.87000275
12/2/2010,90.69000244
12/3/2010,91.41999817
12/6/2010,91.44999695
12/7/2010,91.38999939
12/8/2010,90.76999664
12/9/2010,90.98999786
12/10/2010,90.48000336
12/13/2010,91.19000244
12/14/2010,91.20999908
12/15/2010,92.19999695
12/16/2010,91.70999908
12/17/2010,91.66999817
12/20/2010,92.73999786
12/21/2010,93.19999695
12/22/2010,93.65000153
12/23/2010,94.25
12/27/2010,93.84999847
12/28/2010,94.37999725
12/29/2010,94.13999939
12/30/2010,93.08999634
12/31/2010,94.75
1/3/2011,94.83999634
1/4/2011,93.52999878
1/5/2011,95.5
1/6/2011,94.51999664
1/7/2011,93.33000183
1/10/2011,95.69999695
1/11/2011,97.61000061
1/12/2011,98.12000275
1/13/2011,98.05999756
1/18/2011,97.80000305
1/19/2011,98.16000366
1/20/2011,96.58000183
1/21/2011,97.59999847
1/24/2011,96.61000061
1/25/2011,95.25
1/26/2011,97.91000366
1/27/2011,97.38999939
1/28/2011,99.41999817
1/31/2011,101.0100021
2/1/2011,101.7399979
2/2/2011,102.3399963
2/3/2011,101.7600021
2/4/2011,99.83000183
2/7/2011,99.25
2/8/2011,99.91999817
2/9/2011,101.8199997
2/10/2011,100.8700027
2/11/2011,101.4300003
2/14/2011,103.0800018
2/15/2011,101.6399994
2/16/2011,103.7799988
2/17/2011,102.5899963
2/18/2011,102.5199966
2/22/2011,105.7799988
2/23/2011,111.25
2/24/2011,111.3600006
2/25/2011,112.1399994
2/28/2011,111.8000031
3/1/2011,115.4199982
3/2/2011,116.3499985
3/3/2011,114.7900009
3/4/2011,115.9700012
3/7/2011,115.0400009
3/8/2011,113.0599976
3/9/2011,115.9400024
3/10/2011,115.4300003
3/11/2011,113.8399963
3/14/2011,113.6699982
3/15/2011,108.5199966
3/16/2011,110.6200027
3/17/2011,114.9000015
3/18/2011,113.9300003
3/21/2011,114.9599991
3/22/2011,115.6999969
3/23/2011,115.5500031
3/24/2011,115.7200012
3/25/2011,115.5899963
3/28/2011,114.8000031
3/30/2011,115.1299973
3/31/2011,117.3600006
4/1/2011,118.6999969
4/4/2011,121.0599976
4/5/2011,122.2200012
4/6/2011,122.3000031
4/7/2011,122.6699982
4/8/2011,126.6500015
4/11/2011,123.9800034
4/12/2011,120.9199982
4/13/2011,122.8799973
4/14/2011,122.3600006
4/15/2011,123.4499969
4/18/2011,121.6100006
4/19/2011,121.3300018
4/21/2011,123.9899979
4/25/2011,123.6600037
4/26/2011,124.1399994
4/27/2011,125.1299973
4/28/2011,125.0199966
4/29/2011,125.8899994
5/2/2011,125.1200027
5/3/2011,122.4499969
5/4/2011,121.1900024
5/5/2011,110.8000031
5/6/2011,109.1299973
5/9/2011,115.9000015
5/10/2011,117.6299973
5/11/2011,112.5699997
5/12/2011,112.9800034
5/13/2011,113.8300018
5/16/2011,112.7300034
5/17/2011,109.9899979
5/18/2011,112.3000031
5/19/2011,111.4199982
5/20/2011,112.3899994
5/23/2011,110.0999985
5/24/2011,112.5299988
5/25/2011,114.9300003
5/26/2011,115.0500031
5/27/2011,115.0299988
5/31/2011,116.7300034
6/1/2011,114.5299988
6/2/2011,115.5400009
6/3/2011,115.8399963
6/6/2011,114.4800034
6/7/2011,116.7799988
6/8/2011,117.8499985
6/9/2011,119.5699997
6/10/2011,118.7799988
6/13/2011,119.0999985
6/14/2011,120.1600037
6/15/2011,117.0999985
6/16/2011,114.0199966
6/17/2011,113.2099991
6/20/2011,111.6900024
6/21/2011,110.9499969
6/22/2011,114.2099991
6/23/2011,107.2600021
6/24/2011,105.1200027
6/27/2011,105.9899979
6/28/2011,108.7799988
6/29/2011,112.4000015
6/30/2011,112.4800034
7/1/2011,111.7699966
7/6/2011,113.6200027
7/7/2011,118.5899963
7/8/2011,118.3300018
7/11/2011,117.2399979
7/12/2011,117.75
7/14/2011,118.3199997
7/15/2011,117.2600021
7/18/2011,116.0500031
7/20/2011,118.1500015
7/21/2011,117.5100021
7/22/2011,118.6699982
7/25/2011,117.9400024
7/26/2011,118.2799988
7/27/2011,117.4300003
7/28/2011,117.3600006
7/29/2011,116.7399979
8/1/2011,116.8099976
8/2/2011,116.4599991
8/3/2011,113.2300034
8/4/2011,107.25
8/5/2011,109.3700027
8/8/2011,103.7399979
8/9/2011,102.5699997
8/10/2011,106.6800003
8/11/2011,108.0199966
8/12/2011,108.0299988
8/15/2011,109.9100037
8/17/2011,110.5999985
8/18/2011,106.9899979
8/19/2011,108.6200027
8/22/2011,108.3600006
8/23/2011,109.3099976
8/24/2011,110.1500015
8/26/2011,111.3600006
8/29/2011,111.8799973
8/30/2011,114.0199966
8/31/2011,114.8499985
9/1/2011,114.2900009
9/2/2011,112.3300018
9/6/2011,112.8899994
9/7/2011,115.8000031
9/8/2011,114.5500031
9/9/2011,112.7699966
9/12/2011,112.25
9/13/2011,111.8899994
9/14/2011,112.4000015
9/15/2011,115.3399963
9/16/2011,112.2200012
9/19/2011,109.1399994
9/20/2011,110.5400009
9/21/2011,110.3600006
9/22/2011,105.4899979
9/23/2011,103.9700012
9/27/2011,107.1399994
9/28/2011,103.8099976
9/29/2011,103.9499969
9/30/2011,102.7600021
10/3/2011,101.7099991
10/4/2011,99.79000092
10/6/2011,105.7300034
10/7/2011,105.8799973
10/10/2011,108.9499969
10/11/2011,110.7300034
10/12/2011,111.3600006
10/13/2011,111.1100006
10/14/2011,114.6800003
10/17/2011,110.1600037
10/18/2011,111.1500015
10/19/2011,108.3899994
10/20/2011,109.7600021
10/21/2011,109.5599976
10/24/2011,111.4499969
10/25/2011,110.9199982
10/26/2011,108.9100037
10/27/2011,112.0800018
10/28/2011,109.9100037
10/31/2011,109.5599976
11/1/2011,109.5400009
11/2/2011,109.3399963
11/3/2011,110.8300018
11/4/2011,111.9700012
11/7/2011,114.5599976
11/8/2011,115
11/9/2011,112.3099976
11/10/2011,113.7099991
11/11/2011,114.1600037
11/14/2011,111.8899994
11/15/2011,112.3899994
11/16/2011,111.8799973
11/17/2011,108.2200012
11/18/2011,107.5599976
11/22/2011,109.0299988
11/23/2011,107.0199966
11/25/2011,106.4000015
11/28/2011,109
11/29/2011,110.8199997
12/1/2011,108.9899979
12/2/2011,109.9400024
12/5/2011,109.8099976
12/6/2011,110.8099976
12/7/2011,109.5299988
12/8/2011,108.1100006
12/9/2011,108.6200027
12/12/2011,107.2600021
12/13/2011,109.5
12/14/2011,105.0199966
12/15/2011,105.0899963
12/16/2011,103.3499985
12/19/2011,103.6399994
12/20/2011,106.7300034
12/21/2011,107.7099991
12/22/2011,107.8899994
12/23/2011,107.9599991
12/27/2011,109.2699966
12/28/2011,107.5599976
12/29/2011,108.0100021
12/30/2011,107.3799973
1/3/2012,112.1299973
1/4/2012,113.6999969
1/5/2012,112.7399979
1/6/2012,113.0599976
1/9/2012,112.4499969
1/10/2012,113.2799988
1/11/2012,112.2399979
1/12/2012,111.2600021
